ROAD_CLASS,DISTRICT,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,VEHTYPE,HOUR,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,PEDESTRIAN,PASSENGER,POLICE_DIVISION,HOOD_ID,month
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Bus,3,0,1,0,0,1,0,0,0,0,0,0,1,0,53,103,5
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Turning Movement,Driver,Automobile,13,0,1,0,0,0,0,1,1,0,0,0,0,0,23,1,9
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,22,0,1,0,0,0,0,0,0,0,0,0,1,0,43,137,7
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,8,0,0,0,0,1,0,0,0,0,0,0,1,0,14,82,12
Minor Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,16,0,1,0,0,0,0,0,1,0,1,0,1,1,41,120,9
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Driver,Automobile,19,0,1,0,0,1,0,0,1,1,0,0,0,1,41,120,4
Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,20,0,1,0,0,0,0,0,0,0,0,0,1,0,51,73,3
Major Arterial,Scarborough,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Approaching,Truck Driver,Truck,9,0,1,0,0,0,0,0,0,0,0,0,0,0,41,125,12
Collector,North York,Intersection,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,10,0,1,0,0,0,0,0,0,0,0,0,1,0,32,36,10
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Truck Driver,Truck,12,0,0,1,1,0,0,1,1,0,0,0,0,0,51,73,8
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Driver,Automobile,18,0,1,0,0,1,0,0,0,0,0,0,0,0,42,131,8
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,7,1,1,0,0,0,0,0,0,0,0,0,0,0,11,93,8
Major Arterial,Etobicoke York,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Turning Movement,Driver,Automobile,22,0,1,0,0,0,0,1,1,0,1,0,0,1,23,1,9
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Approaching,Driver,Automobile,12,0,1,0,0,0,0,0,1,0,0,0,0,0,14,77,4
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,22,0,1,1,0,0,0,0,0,0,0,0,0,0,52,77,9
Minor Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Approaching,Driver,Automobile,18,0,1,0,0,0,0,1,1,0,0,0,0,1,22,14,5
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Other,13,0,1,0,0,0,0,0,1,0,0,0,0,0,22,12,8
Minor Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,16,0,1,0,0,0,0,0,0,0,0,0,1,0,42,130,6
Minor Arterial,North York,Intersection,At Intersection,Stop Sign,Clear,Dark,Wet,Turning Movement,Passenger,Other,19,0,1,0,0,0,0,0,0,0,0,0,0,1,32,27,11
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,12,0,1,0,0,0,0,0,1,0,0,0,1,0,33,52,8
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,3,0,1,0,0,0,0,0,0,0,0,0,1,0,14,77,6
Major Arterial,Scarborough,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,17,1,1,0,0,0,0,0,1,1,0,0,0,0,42,130,6
Major Arterial,North York,Mid-Block,Other,No Control,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,2,0,1,0,0,0,0,0,0,0,0,0,1,0,33,45,7
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,15,0,1,0,0,0,0,0,0,0,0,0,1,0,55,70,11
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,12,0,1,0,0,0,0,0,0,0,0,0,1,0,32,37,8
Major Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,Dawn,Dry,Pedestrian Collisions,Pedestrian,Other,6,0,1,0,0,0,0,0,0,0,0,0,1,0,41,119,11
Collector,Scarborough,Mid-Block,Other,No Control,"Fog, Mist, Smoke, Dust",Dark,Wet,SMV Other,Other,Other,2,0,1,0,0,0,0,0,0,0,1,0,0,0,42,117,5
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Dark,Dry,Turning Movement,Passenger,Other,4,0,1,0,0,0,0,0,0,0,0,0,0,1,55,64,8
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Truck,13,0,0,0,1,0,0,0,0,0,0,0,1,0,13,107,1
Minor Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Bus,17,0,0,0,0,1,0,0,1,0,0,0,1,0,42,132,12
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,20,0,1,0,0,0,0,0,0,0,0,0,1,0,23,2,11
Other,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Rear End,Truck Driver,Truck,1,0,1,0,1,0,0,0,0,0,0,0,0,0,11,85,3
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Driver,Automobile,21,0,1,0,0,0,0,0,1,0,0,0,0,1,22,13,9
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Rear End,Vehicle Owner,Other,16,0,1,0,0,0,0,0,1,0,0,0,0,0,51,77,2
Major Arterial,Scarborough,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,16,0,1,1,0,0,0,0,0,0,0,0,0,0,41,119,8
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Driver,Truck,20,0,1,1,0,0,0,0,1,0,0,0,0,0,42,132,5
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Truck Driver,Truck,15,0,1,0,1,0,0,0,0,0,0,0,0,0,23,2,3
Major Arterial,Scarborough,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,19,0,1,0,0,0,0,0,0,0,0,0,1,0,41,124,6
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,15,0,1,0,0,0,0,0,0,0,0,0,1,0,23,6,3
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Other,Other,Other,Pedestrian Collisions,Pedestrian,Other,6,0,0,0,0,1,0,0,0,0,0,0,1,0,51,74,3
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Rear End,Driver,Automobile,15,0,1,0,0,0,0,0,1,0,0,0,0,1,13,101,3
Major Arterial,Scarborough,Mid-Block,Other,No Control,Rain,Dark,Wet,Pedestrian Collisions,Vehicle Owner,Other,18,0,1,0,0,0,0,1,1,0,0,0,1,0,41,124,12
Minor Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,19,0,1,0,0,0,0,0,1,0,0,0,1,0,31,21,3
Local,North York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,15,0,1,0,0,0,0,0,1,0,0,0,1,0,33,49,6
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Automobile,3,0,1,0,0,0,0,0,0,0,0,0,0,1,52,76,8
Major Arterial,North York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,15,0,1,0,0,0,0,0,1,0,0,0,1,0,31,26,5
Minor Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,SMV Other,Driver,Automobile,18,0,1,0,0,0,0,1,1,0,0,0,0,1,51,77,7
Collector,Etobicoke York,Mid-Block,Other,No Control,Rain,Daylight,Wet,Approaching,Driver,Bus,10,0,1,0,0,1,0,0,0,0,1,0,0,1,23,4,10
Other,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Motorcycle Passenger,2 Wheels,13,0,1,1,0,0,0,0,0,0,0,0,0,1,53,98,10
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,20,0,1,0,0,0,0,0,0,0,0,0,1,0,32,39,5
Minor Arterial,Etobicoke York,Intersection,At Intersection,No Control,Rain,Daylight,Wet,Approaching,Passenger,Other,14,0,1,0,0,0,0,1,1,0,0,0,0,1,12,112,6
Major Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,10,0,1,0,0,0,0,0,0,0,0,0,1,1,31,27,2
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Truck Driver,Truck,7,0,0,0,1,0,0,0,0,0,0,0,1,0,22,17,9
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,11,0,1,0,0,0,0,0,0,0,0,0,1,0,31,21,8
Minor Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,Dark,Other,Approaching,Passenger,Other,23,0,1,0,0,0,0,0,0,0,0,0,0,1,42,131,5
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Dark,Wet,Turning Movement,Vehicle Owner,Other,21,0,1,0,0,0,0,0,0,0,0,0,0,0,42,131,12
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Turning Movement,Driver,Automobile,21,0,1,0,0,0,0,0,0,0,0,0,0,1,13,32,5
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,16,0,0,0,1,0,0,0,1,0,0,0,1,0,31,22,2
Other,Scarborough,Mid-Block,Other,No Control,Clear,Daylight,Dry,SMV Other,Driver,Automobile,8,0,1,0,0,0,0,0,0,0,0,1,0,0,43,133,10
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,10,0,1,0,0,0,0,0,0,0,0,0,1,0,32,50,10
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Driver,Van,6,0,1,0,0,0,0,0,1,1,0,0,0,1,32,31,12
Major Arterial,North York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,14,0,1,0,0,0,0,0,1,0,0,0,1,0,32,50,6
Other,Other,Mid-Block,Non Intersection,No Control,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,17,0,1,0,0,0,0,0,0,0,0,0,1,0,51,73,12
Minor Arterial,Toronto and East York,Intersection,At Intersection,Stop Sign,Rain,Daylight,Wet,Cyclist Collisions,Vehicle Owner,Other,9,1,0,0,0,1,0,0,0,0,0,0,0,0,14,85,6
Major Arterial,North York,Intersection,Other,Stop Sign,Clear,Daylight,Dry,Turning Movement,Passenger,Other,12,0,1,0,0,0,0,0,1,0,0,0,0,1,32,51,7
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,13,0,1,0,0,0,0,0,1,0,0,0,1,0,33,52,1
Minor Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,17,0,1,0,0,0,0,0,0,0,0,0,1,0,55,70,2
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,14,1,1,0,0,0,0,0,0,0,0,0,0,0,12,30,10
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,18,0,0,0,0,1,0,0,0,0,0,0,1,0,13,31,11
Major Arterial,North York,Intersection,Other,No Control,Clear,Dark,Dry,SMV Other,Vehicle Owner,Other,2,0,1,0,0,0,0,1,1,0,1,0,0,1,53,99,4
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Vehicle Owner,Other,6,0,0,0,1,0,0,0,0,0,0,0,1,0,31,21,3
Minor Arterial,North York,Intersection,At Intersection,No Control,Rain,Daylight,Wet,Rear End,Driver,Automobile,18,0,1,0,0,0,0,0,1,0,0,0,0,1,32,34,10
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dusk,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,21,1,1,0,0,0,0,0,0,0,0,0,0,0,43,136,7
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Vehicle Owner,Other,15,0,1,0,0,0,0,0,0,0,0,1,0,0,23,1,4
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,11,0,0,0,0,1,0,0,0,0,0,0,1,0,53,96,6
Collector,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Vehicle Owner,Other,14,0,1,0,0,0,0,0,0,0,0,0,0,0,12,112,8
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Dawn,Dry,Approaching,Driver,Automobile,6,0,1,0,0,0,0,0,1,0,0,0,0,0,41,126,3
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,Bus,1,0,0,0,0,1,0,0,0,0,0,0,1,0,55,63,5
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Rain,Dusk,Wet,Pedestrian Collisions,Vehicle Owner,Other,19,0,1,0,0,0,0,0,1,0,0,0,1,0,42,118,8
Major Arterial,North York,Intersection,At Intersection,Pedestrian Crossover,Clear,Dusk,Wet,Pedestrian Collisions,Pedestrian,Other,16,0,1,0,0,0,0,0,1,0,0,0,1,0,51,73,2
Major Arterial,Scarborough,Intersection,Other,Traffic Signal,Clear,Daylight,Wet,Angle,Driver,Automobile,18,0,1,0,0,0,0,0,1,1,0,0,0,1,41,126,12
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,3,0,1,0,0,0,0,0,0,0,0,0,1,0,14,78,7
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Other,Daylight,Other,Pedestrian Collisions,Driver,Bus,9,0,0,0,0,1,0,0,0,0,0,0,1,0,13,109,3
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Passenger,Other,17,0,1,0,0,0,0,0,1,0,0,0,0,1,42,131,3
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,13,1,1,0,0,0,0,0,0,0,0,0,0,0,53,103,5
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Driver,Automobile,9,0,1,0,0,0,0,0,1,1,0,1,0,0,41,138,5
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,15,0,1,0,0,0,0,0,0,0,0,0,1,0,23,6,3
Other,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Rear End,Driver,Automobile,14,0,1,0,1,0,0,0,0,0,0,0,0,0,33,42,5
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Daylight,Dry,SMV Other,Motorcycle Passenger,2 Wheels,18,0,1,1,0,0,0,1,1,0,0,0,0,0,51,77,4
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,13,0,1,0,0,0,0,0,1,0,0,0,1,1,52,77,7
Local,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Cyclist Collisions,Vehicle Owner,Other,6,1,1,0,0,0,0,0,0,0,0,0,0,0,13,92,5
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,17,0,1,0,0,0,0,0,0,0,0,0,1,0,14,93,1
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,10,0,0,0,0,1,0,0,0,0,0,0,1,0,31,25,4
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,13,1,1,0,0,1,0,0,0,0,0,0,0,0,53,95,5
Major Arterial,North York,Intersection,At Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,23,0,1,0,0,0,0,0,0,0,0,0,1,0,41,119,8
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Turning Movement,Truck Driver,Truck,11,0,1,0,1,0,0,0,1,0,0,0,0,0,42,116,1
Minor Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Vehicle Owner,Other,11,0,1,0,1,0,0,0,0,0,0,0,0,0,22,14,3
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,19,0,1,0,0,0,0,0,0,0,0,0,1,0,13,96,6
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Dark,Dry,Approaching,Driver,Automobile,0,0,1,0,0,0,0,0,0,0,0,1,0,1,32,41,12
Minor Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Bus,17,0,0,0,0,1,0,0,1,0,0,0,1,0,14,93,4
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,9,0,1,0,0,0,0,0,0,0,0,0,1,1,33,47,8
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Rear End,Vehicle Owner,Other,22,0,1,0,0,0,0,0,1,0,0,0,0,1,11,93,6
Local,Scarborough,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Other,Other,12,0,1,0,0,0,0,0,0,0,0,0,1,0,41,123,7
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Angle,Vehicle Owner,Other,16,0,1,1,0,0,0,0,1,1,0,0,0,0,55,67,8
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Driver,Automobile,18,0,1,0,0,0,0,0,1,0,0,0,0,1,22,8,4
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Daylight,Dry,Rear End,Driver,Automobile,9,0,1,0,0,0,0,0,1,0,0,0,0,0,41,124,2
Collector,Scarborough,Mid-Block,Other,No Control,"Fog, Mist, Smoke, Dust",Dark,Wet,SMV Other,Driver,Automobile,2,0,1,0,0,0,0,0,0,0,1,0,0,0,42,117,5
Other,Other,Mid-Block,Non Intersection,Traffic Signal,Clear,Dark,Wet,Pedestrian Collisions,Driver,Automobile,0,0,1,0,0,0,0,0,0,0,0,0,1,0,14,82,10
Major Arterial,North York,Intersection,Other,No Control,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,18,0,1,0,0,0,0,0,0,0,0,0,1,0,54,43,12
Major Arterial,Etobicoke York,Intersection,At Intersection,No Control,Clear,Dark,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,22,0,1,1,0,0,0,0,1,0,0,0,0,0,22,15,7
Collector,North York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Angle,Driver,Automobile,7,0,1,0,0,0,0,1,1,0,1,0,0,1,32,36,7
Major Arterial,Scarborough,Intersection,At Intersection,Stop Sign,Clear,Dark,Wet,Turning Movement,Driver,Automobile,2,0,1,0,0,0,0,1,1,0,0,0,0,0,43,138,2
Other,Toronto and East York,Mid-Block,Other,No Control,Snow,Dark,Snow,SMV Other,Vehicle Owner,Other,0,0,1,0,0,0,0,1,1,0,0,0,0,1,55,68,12
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Wet,Cyclist Collisions,Other,Other,7,1,0,0,1,0,0,0,0,0,0,0,0,0,52,78,10
Major Arterial,Etobicoke York,Intersection,Other,Stop Sign,Clear,Dark,Dry,Turning Movement,Driver,Automobile,18,0,1,1,0,0,0,1,1,0,0,0,0,0,23,1,9
Collector,Etobicoke York,Mid-Block,Other,Other,Clear,Dark,Dry,Pedestrian Collisions,Vehicle Owner,Automobile,23,0,1,0,0,0,0,0,0,0,0,0,1,0,12,113,10
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,15,0,1,0,0,0,0,0,0,0,0,0,1,0,54,44,8
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,7,1,1,0,0,0,0,0,0,0,0,0,0,0,51,75,10
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Driver,Automobile,18,0,1,0,0,0,0,0,1,0,0,0,0,0,13,94,5
Major Arterial,North York,Mid-Block,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,16,1,0,0,1,0,0,0,1,0,0,0,0,0,53,55,9
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,SMV Other,Driver,Automobile,17,0,1,0,0,0,0,1,1,0,0,0,0,1,51,77,3
Minor Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dawn,Dry,Pedestrian Collisions,Driver,Automobile,6,0,1,0,0,0,0,0,1,0,0,0,1,0,51,75,10
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Driver,Automobile,18,0,1,0,0,0,0,0,0,0,0,0,0,1,52,76,3
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Angle,Truck Driver,Truck,14,0,1,0,1,0,0,0,1,1,0,1,0,0,31,22,1
Major Arterial,Scarborough,Mid-Block,Other,No Control,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,21,0,1,0,0,0,0,0,0,0,0,0,1,0,42,131,9
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Vehicle Owner,Other,1,0,1,0,0,0,0,0,0,0,0,0,1,0,32,51,10
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Driver,Automobile,10,0,1,0,0,0,0,0,1,1,0,1,0,1,43,137,8
Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,19,0,1,0,0,0,0,0,0,0,0,0,1,0,51,71,12
Major Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Rear End,Driver,Automobile,18,0,1,0,0,0,0,0,1,0,0,0,0,1,12,111,8
Collector,Etobicoke York,Mid-Block,Other,No Control,Clear,Dark,Dry,SMV Other,Other,Other,21,0,1,0,0,0,0,1,1,0,0,0,0,1,31,21,4
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,16,0,1,0,1,0,0,0,0,0,0,0,1,1,41,119,7
Local,Toronto and East York,Intersection,Other,No Control,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,19,1,1,0,0,0,0,0,0,0,0,0,0,0,53,97,8
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Passenger,Other,12,0,1,0,0,0,0,0,1,0,0,0,0,1,33,42,11
Minor Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Truck,12,0,1,0,0,0,0,0,1,0,0,0,1,0,42,132,6
Minor Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Dark,Dry,SMV Other,Motorcycle Passenger,2 Wheels,21,0,0,1,0,0,0,0,0,0,0,0,0,0,42,132,5
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Approaching,Driver,Automobile,3,0,1,0,0,0,0,1,1,0,0,0,0,0,51,73,1
Collector,Scarborough,Mid-Block,Other,No Control,Clear,Dark,Dry,SMV Other,Driver,Automobile,1,0,1,0,0,0,0,0,0,0,1,0,0,1,43,137,2
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Passenger,Other,20,0,1,0,0,0,0,0,0,0,0,0,0,1,41,127,9
Collector,Scarborough,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Pedestrian Collisions,Vehicle Owner,Other,18,0,1,0,0,0,0,0,1,0,0,0,1,0,42,132,1
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,12,0,1,0,0,0,0,0,0,0,0,0,1,0,32,37,8
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,0,0,1,0,0,0,0,0,0,0,0,0,1,0,52,76,10
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Driver,Automobile,21,0,1,1,0,0,0,0,1,0,0,0,0,0,14,85,5
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,18,0,1,0,0,0,0,0,0,0,0,0,1,0,13,92,12
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,2,0,1,0,0,0,0,0,0,0,0,0,1,0,14,79,3
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,"Fog, Mist, Smoke, Dust",Dark,Wet,Pedestrian Collisions,Pedestrian,Other,17,0,1,0,0,0,0,0,1,0,0,0,1,0,42,128,12
